city,pollutant_id,pollutant_min,pollutant_max
Agartala,PM10,70.0,118.0
Agra,PM10,12.0,70.0
Ahmedabad,PM10,27.0,101.0
Ahmednagar,PM10,44.0,231.0
Aizawl,PM10,54.0,94.0
Ajmer,PM10,39.0,108.0
Akola,PM10,41.0,182.0
Alwar,PM10,59.0,110.0
Amaravati,PM10,26.0,93.0
Ambala,PM10,55.0,113.0
Amravati,PM10,51.0,130.0
Amritsar,PM10,18.0,98.0
Anantapur,PM10,65.0,97.0
Angul,PM10,101.0,262.0
Ankleshwar,PM10,48.0,75.0
Ariyalur,PM10,29.0,61.0
Asansol,PM10,106.0,209.0
Aurangabad,PM10,40.0,105.0
Baddi,PM10,72.0,271.0
Badlapur,PM10,67.0,153.0
Bagalkot,PM10,45.0,46.0
Baghpat,PM10,115.0,307.0
Bahadurgarh,PM10,69.0,140.0
Balasore,PM10,78.0,180.0
Ballabgarh,PM10,83.0,172.0
Banswara,PM10,27.0,75.0
Baran,PM10,63.0,108.0
Barbil,PM10,112.0,312.0
Bareilly,PM10,63.0,115.0
Baripada,PM10,92.0,137.0
Barmer,PM10,49.0,103.0
Barrackpore,PM10,53.0,136.0
Belapur,PM10,62.0,127.0
Belgaum,PM10,30.0,87.0
Bengaluru,PM10,37.0,104.0
Bettiah,PM10,112.0,471.0
Bhagalpur,PM10,43.0,172.0
Bharatpur,PM10,95.0,306.0
Bhilai,PM10,53.0,84.0
Bhilwara,PM10,12.0,85.0
Bhiwadi,PM10,40.0,110.0
Bhiwandi,PM10,67.0,116.0
Bhiwani,PM10,70.0,355.0
Bhopal,PM10,37.0,104.0
Bhubaneswar,PM10,43.0,139.0
Bihar Sharif,PM10,51.0,500.0
Bikaner,PM10,62.0,151.0
Boisar,PM10,71.0,134.0
Brajrajnagar,PM10,5.0,169.0
Bulandshahr,PM10,102.0,205.0
Bundi,PM10,34.0,100.0
Byasanagar,PM10,69.0,166.0
Chamarajanagar,PM10,43.0,58.0
Chandigarh,PM10,53.0,123.0
Chandrapur,PM10,51.0,83.0
Charkhi Dadri,PM10,85.0,144.0
Chengalpattu,PM10,3.0,35.0
Chennai,PM10,6.0,36.0
Chhal,PM10,54.0,110.0
Chhapra,PM10,107.0,147.0
Chikkaballapur,PM10,54.0,104.0
Chikkamagaluru,PM10,34.0,87.0
Chittorgarh,PM10,46.0,178.0
Churu,PM10,45.0,128.0
Cuddalore,PM10,30.0,113.0
Cuttack,PM10,68.0,175.0
Dausa,PM10,104.0,159.0
Davanagere,PM10,12.0,104.0
Dehradun,PM10,71.0,140.0
Delhi,PM10,58.0,125.0
Dewas,PM10,31.0,57.0
Dhanbad,PM10,13.0,193.0
Dharuhera,PM10,131.0,223.0
Dholpur,PM10,120.0,296.0
Dhule,PM10,67.0,192.0
Dungarpur,PM10,47.0,99.0
Durgapur,PM10,113.0,383.0
Eloor,PM10,35.0,46.0
Faridabad,PM10,99.0,149.0
Fatehabad,PM10,46.0,102.0
Firozabad,PM10,39.0,86.0
Gandhinagar,PM10,25.0,65.0
Gangtok,PM10,28.0,60.0
Gaya,PM10,68.0,129.0
